sentence,title
柳庭风静人眠昼，昼眠人静风庭柳。,苏轼《菩萨蛮·回文夏闺怨》
玩人丧德，玩物丧志。,《尚书·周书·旅獒》
但愿人长久，千里共婵娟。,苏轼《水调歌头·丙辰中秋》
江山代有才人出，各领风骚数百年。,赵翼《论诗五首·其二》
天将降大任于是人也，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为。,《孟子·告子章句下·第十五节》
妆罢低声问夫婿，画眉深浅入时无。,朱庆馀《近试上张籍水部 / 近试上张水部 / 闺意献张水部》
孤舟蓑笠翁，独钓寒江雪。,柳宗元《江雪》
大漠沙如雪，燕山月似钩。,李贺《马诗二十三首·其五》
试玉要烧三日满，辨材须待七年期。,白居易《放言五首·其三》
自知者不怨人，知命者不怨天；怨人者穷，怨天者无志。,《荀子·荣辱》
忽见陌头杨柳色，悔教夫婿觅封侯。,王昌龄《闺怨》
相逢一醉是前缘，风雨散、飘然何处。,苏轼《鹊桥仙·七夕》
青山隐隐水迢迢，秋尽江南草未凋。,杜牧《寄扬州韩绰判官》
若似月轮终皎洁，不辞冰雪为卿热。,纳兰性德《蝶恋花·辛苦最怜天上月》
墙角数枝梅，凌寒独自开。,王安石《梅花 / 梅》
今朝有酒今朝醉，明日愁来明日愁。,罗隐《自遣》
萧萧梧叶送寒声，江上秋风动客情。,叶绍翁《夜书所见》
多情却被无情恼，今夜还如昨夜长。,元好问《鹧鸪天·候馆灯昏雨送凉》
去年花里逢君别，今日花开已一年。,韦应物《寄李儋元锡》
长恨此身非我有，何时忘却营营。,苏轼《临江仙·夜饮东坡醒复醉》
梨花院落溶溶月，柳絮池塘淡淡风。,晏殊《无题·油壁香车不再逢》
千淘万漉虽辛苦，吹尽狂沙始到金。,刘禹锡《浪淘沙九首》
人情反复，世路崎岖。,《菜根谭·概论》
